ISIN,Company,LEVEL2 SECTOR NAME,LEVEL3 SECTOR NAME,LEVEL4 SECTOR NAME,LEVEL5 SECTOR NAME,GEOGRAPHIC DESCR.,TotalValue,EV,SUPPLIERCOSTS
FR0000120578,SANOFI,Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,FRANCE,"129,260,543,000","144,423,604,070","25,189,199,435"
US9418481035,WATERS,Health Care,Health Care,Medical Eq. Services,Medical Equipment,UNITED STATES,"4,553,795,000","22,765,580,000","1,370,619,542"
IE00BDB6Q211,WILLIS TOWERS WATSON,Financials,Insurance,Non-life Insurance,Insurance Brokers,UNITED STATES,"27,443,000,000",NA,"6,706,770,836"
US91324P1021,UNITEDHEALTH GROUP,Health Care,Health Care,Health Care Providers,Health Care Mgmt. Svs,UNITED STATES,"298,278,000,000","328,390,400,000","166,754,268,754"
INE002A01018,RELIANCE INDUSTRIES,Energy,Energy,"Oil, Gas and Coal",Oil Refining & Mkting,INDIA,"228,109,934,000","242,645,135,980","85,104,551,926"
TRASASAW91E4,SASA POLYESTER A,Basic Materials,Chemicals,Chemicals,Chem. & Syn. Fibers,TURKEY,"5,036,596,000",NA,"1,019,589,987"
INE660A01013,SUNDARAM FINANCE,Financials,Financial Services,Finance & Credit Svs,Consumer Lending,INDIA,"8,814,140,000",NA,"301,534,499"
INE205A01025,VEDANTA,Basic Materials,Basic Resources,Ind. Metals & Mining,General Mining,INDIA,"23,392,315,000","24,246,969,120","13,736,003,799"
INE155A01022,TATA MOTORS PASSENGER VEHICLES,Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Automobiles,INDIA,"43,460,286,000","14,869,261,830","39,747,258,446"
INE685A01028,TORRENT PHARMACEUTICALS,Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,INDIA,"1,684,236,000","14,061,912,160","740,087,163"
INE669C01036,TECH MAHINDRA,Technology,Technology,Software & Comp. Svs.,Computer Services,INDIA,"4,988,411,000","14,285,740,040","2,602,332,172"
INE081A01020,TATA STEEL,Basic Materials,Basic Resources,Ind. Metals & Mining,Iron & Steel,INDIA,"32,227,737,000","27,700,241,810","19,624,371,174"
INE280A01028,TITAN COMPANY,Consumer Discretion,Consumer Prod & Svs,Personal Goods,Luxury Items,INDIA,"4,735,674,000","38,923,616,080","4,037,043,304"
INE245A01021,TATA POWER,Utilities,Utilities,Electricity,Conv. Electricity,INDIA,"18,274,096,000","22,480,102,020","4,775,321,093"
BRCPFEACNOR0,CPFL ENERGIA ON,Utilities,Utilities,Electricity,Conv. Electricity,BRAZIL,"12,441,592,000","14,463,550,190","4,301,215,914"
GB00BM8Q5M07,JD SPORTS FASHION,Consumer Discretion,Retailers,Retailers,Apparel Retailers,UNITED KINGDOM,"12,328,581,000","9,714,594,250","10,741,956,993"
TW0003529004,EMEMORY TECHNOLOGY,Technology,Technology,"Tech. Hardware, Equip",Semiconductors,TAIWAN,"135,896,000","4,572,181,370","78,780,328"
